uid,profile,anime_uid,rating,scores
192431,showandAG,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
35445,xScHeiZe,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '9', 'Character': '10', 'Enjoyment': '10'}"
47887,ChildHatchling,4181,10,"{'Overall': '10', 'Story': '8', 'Animation': '8', 'Sound': '7', 'Character': '10', 'Enjoyment': '10'}"
180915,Lohuydahutt,4181,9,"{'Overall': '9', 'Story': '8', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
47393,Victor_Lighty,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
203298,Vedan,4181,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
53631,TabiNoTochuu,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
307961,AlexanderMaya,35363,5,"{'Overall': '5', 'Story': '3', 'Animation': '8', 'Sound': '8', 'Character': '6', 'Enjoyment': '4'}"
286958,BabyGirl06301,22673,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
89149,LoveArrowShooto,6862,8,"{'Overall': '8', 'Story': '8', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '8'}"
206363,For_Reign,451,8,"{'Overall': '8', 'Story': '8', 'Animation': '9', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
37548,vanmarckestevy,9563,7,"{'Overall': '7', 'Story': '7', 'Animation': '8', 'Sound': '7', 'Character': '8', 'Enjoyment': '7'}"
318322,BTDee,30364,6,"{'Overall': '6', 'Story': '7', 'Animation': '8', 'Sound': '8', 'Character': '8', 'Enjoyment': '6'}"
294657,Asasphinx,33280,8,"{'Overall': '8', 'Story': '8', 'Animation': '7', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
286043,LegendAqua,33280,8,"{'Overall': '8', 'Story': '7', 'Animation': '9', 'Sound': '8', 'Character': '9', 'Enjoyment': '8'}"
324123,CinaGinger,36369,8,"{'Overall': '8', 'Story': '10', 'Animation': '10', 'Sound': '8', 'Character': '7', 'Enjoyment': '8'}"
306507,LandingZone,27633,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
27223,ryuichi_crosszer,8609,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '8', 'Character': '8', 'Enjoyment': '9'}"
291435,Makimidorikawa,34944,5,"{'Overall': '5', 'Story': '1', 'Animation': '7', 'Sound': '5', 'Character': '5', 'Enjoyment': '3'}"
284453,MoriHimari,36214,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
287119,Fire,36214,6,"{'Overall': '6', 'Story': '5', 'Animation': '9', 'Sound': '9', 'Character': '6', 'Enjoyment': '7'}"
192647,jc9622,5680,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
277193,SmilingSakura,31637,2,"{'Overall': '2', 'Story': '2', 'Animation': '6', 'Sound': '4', 'Character': '2', 'Enjoyment': '2'}"
322537,KnicePerson,31637,5,"{'Overall': '5', 'Story': '8', 'Animation': '7', 'Sound': '5', 'Character': '3', 'Enjoyment': '4'}"
171871,thesailingship,552,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
27004,Dcm18,552,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '9', 'Character': '10', 'Enjoyment': '9'}"
317667,ktulu007,36214,6,"{'Overall': '6', 'Story': '6', 'Animation': '9', 'Sound': '9', 'Character': '6', 'Enjoyment': '6'}"
325487,Firechick12012,36214,7,"{'Overall': '7', 'Story': '6', 'Animation': '9', 'Sound': '9', 'Character': '6', 'Enjoyment': '7'}"
225747,88expert,552,9,"{'Overall': '9', 'Story': '7', 'Animation': '6', 'Sound': '8', 'Character': '9', 'Enjoyment': '10'}"
115439,Darynlxm,552,9,"{'Overall': '9', 'Story': '8', 'Animation': '6', 'Sound': '7', 'Character': '8', 'Enjoyment': '8'}"
287828,PokeFan2112,552,6,"{'Overall': '6', 'Story': '7', 'Animation': '5', 'Sound': '6', 'Character': '7', 'Enjoyment': '6'}"
66927,Shaja,552,8,"{'Overall': '8', 'Story': '8', 'Animation': '6', 'Sound': '7', 'Character': '7', 'Enjoyment': '9'}"
80410,kayori1928,552,9,"{'Overall': '9', 'Story': '9', 'Animation': '7', 'Sound': '8', 'Character': '8', 'Enjoyment': '9'}"
202384,Marii-nyan,5680,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
237315,Falco2424,5680,6,"{'Overall': '6', 'Story': '4', 'Animation': '9', 'Sound': '6', 'Character': '7', 'Enjoyment': '8'}"
279583,Dante012,5680,8,"{'Overall': '8', 'Story': '5', 'Animation': '8', 'Sound': '10', 'Character': '8', 'Enjoyment': '10'}"
317015,Pixeldrum,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '10', 'Sound': '7', 'Character': '8', 'Enjoyment': '6'}"
281349,Crack-san,5680,10,"{'Overall': '10', 'Story': '8', 'Animation': '9', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
261297,jmsxjrdn,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '8', 'Sound': '10', 'Character': '9', 'Enjoyment': '9'}"
323069,dirtbum,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '9', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
248579,DarkSoul218,5680,2,"{'Overall': '2', 'Story': '2', 'Animation': '5', 'Sound': '5', 'Character': '2', 'Enjoyment': '2'}"
264853,Otaku1985,5680,9,"{'Overall': '9', 'Story': '6', 'Animation': '8', 'Sound': '9', 'Character': '8', 'Enjoyment': '9'}"
304105,FukaseKun,5680,1,"{'Overall': '1', 'Story': '1', 'Animation': '4', 'Sound': '6', 'Character': '1', 'Enjoyment': '2'}"
305383,TK8878,5680,7,"{'Overall': '7', 'Story': '7', 'Animation': '7', 'Sound': '9', 'Character': '7', 'Enjoyment': '8'}"
241459,cappedea,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '7', 'Sound': '10', 'Character': '8', 'Enjoyment': '10'}"
52145,rondoblend,5680,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
56853,Moebeetus,5680,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
238590,Pavuss,5680,5,"{'Overall': '5', 'Story': '4', 'Animation': '6', 'Sound': '5', 'Character': '5', 'Enjoyment': '6'}"
251708,PixlReality,5680,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '8'}"
251970,highofftap,5680,4,"{'Overall': '4', 'Story': '1', 'Animation': '8', 'Sound': '4', 'Character': '6', 'Enjoyment': '5'}"
282727,nonameacquired,5680,5,"{'Overall': '5', 'Story': '1', 'Animation': '9', 'Sound': '8', 'Character': '2', 'Enjoyment': '3'}"
257387,DanevsAnime,5680,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
15849,Zeroark,5680,8,"{'Overall': '8', 'Story': '10', 'Animation': '7', 'Sound': '9', 'Character': '9', 'Enjoyment': '10'}"
241166,Rizkiawan-kun,5680,7,"{'Overall': '7', 'Story': '8', 'Animation': '8', 'Sound': '10', 'Character': '9', 'Enjoyment': '9'}"
325629,tex33hunter,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '9', 'Sound': '9', 'Character': '8', 'Enjoyment': '9'}"
241583,SkyeRwby,5680,6,"{'Overall': '6', 'Story': '5', 'Animation': '5', 'Sound': '7', 'Character': '9', 'Enjoyment': '6'}"
265567,_Ghastly_Grimm_,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '8', 'Sound': '9', 'Character': '8', 'Enjoyment': '8'}"
88745,palmeister21,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
84835,kuudere-ish,5680,10,"{'Overall': '10', 'Story': '8', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
198039,Ali_19,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '10', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
